N, BubbleSort,BubbleSortOpt,SelectionSort,InsertionSort,QuickSort,QuickSortOpt,MergeSortRec,MergeSortNon
2,0.0005,0.0006,0.0005,0.0018,0.0007,0.0114,0.001,0.0005
4,0.0003,0.0002,0.0004,0.0001,0.0005,0.0013,0.0007,0.0003
8,0.0007,0.0003,0.0009,0.0002,0.0014,0.0022,0.0016,0.0004
16,0.0068,0.0004,0.0024,0.0004,0.0051,0.0096,0.004,0.0007
32,0.0149,0.0006,0.008,0.0007,0.015,0.012,0.008,0.0014
64,0.046,0.0011,0.0256,0.0013,0.0305,0.0221,0.0139,0.0027
128,0.1676,0.0025,0.0978,0.0025,0.028,0.0373,0.0093,0.0053
256,0.212,0.0044,0.1067,0.0042,0.1041,0.0395,0.0114,0.0104
512,0.2608,0.0086,0.2471,0.0074,0.1739,0.0397,0.0226,0.0202
1024,0.6321,0.0172,0.3101,0.0174,0.0988,0.088,0.0438,0.0408
2048,0.8498,0.0345,1.2081,0.03,0.366,0.1732,0.0984,0.0833
4096,2.6133,0.0628,4.7572,0.0598,1.2939,0.3217,0.221,0.1685
8192,10.4041,0.1091,17.8183,0.0992,4.8662,0.5448,0.4773,0.2487
16384,42.7351,0.0345,70.031,0.0389,19.0156,0.6669,0.3994,0.2736
