N, BubbleSort,BubbleSortOpt,SelectionSort,InsertionSort,QuickSort,QuickSortOpt,MergeSortRec,MergeSortNon,
2,0.0006,0.0007,0.0015,0.0015,0.0012,0.008,0.0011,0.0004,
4,0.0004,0.0003,0.0003,0.0002,0.0005,0.0008,0.0008,0.0003,  
8,0.0013,0.0009,0.0007,0.0006,0.001,0.0014,0.0017,0.0005,  
16,0.0137,0.0039,0.0025,0.0016,0.0022,0.0024,0.0045,0.0009,  
32,0.0171,0.0132,0.0086,0.0072,0.006,0.0049,0.0088,0.0019,  
64,0.0673,0.043,0.0241,0.0232,0.0116,0.0104,0.0173,0.0044,  
128,0.2,0.173,0.0926,0.0821,0.0249,0.0176,0.0129,0.0081,  
256,0.1909,0.1635,0.118,0.2108,0.0191,0.02,0.017,0.0148,  
512,0.3527,0.2391,0.2175,0.1942,0.0281,0.0279,0.0349,0.0308,  
1024,0.5475,0.4811,0.3773,0.3354,0.0561,0.062,0.0742,0.0644,  
2048,1.9427,1.6386,1.4785,0.5644,0.1214,0.1171,0.1581,0.1357,  
4096,6.324,6.1102,5.7436,2.0265,0.145,0.3828,0.3417,0.2838,  
8192,24.9206,23.975,24.2822,8.0212,0.2991,0.6859,0.4373,0.5225,  
16384,98.6735,99.697,90.9443,31.5732,0.587,0.6605,0.9112,0.8783,  
,,,,,,,,,  
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
,,,,,,,,,  
